group,run_id,A,P,rho_U,case,mean_MSE,std_MSE,mean_RMSE,std_RMSE,mean_MAE,std_MAE,found_stable_links,true_positives,false_positives,missed_true_links,max_false_positive_strength,mean_false_positive_strength,lag_accuracy,sign_accuracy,alpha_correlation
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,0.07469203473163188,2.479170836075527e-05,0.27329843152599276,4.5354869090335986e-05,0.16994253638054757,4.8804616689524746e-05,7,6,1,0,0.0503482,0.0503482,1.0,1.0,0.9983653369744255
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,0.09898036780024648,6.091873764411615e-05,0.3146114403957842,9.681082794708566e-05,0.2123988041971742,6.58972047627667e-05,6,4,2,0,0.7294563,0.58590436,1.0,1.0,0.7977514268776359
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,0.06606953288133587,8.613211525423364e-05,0.2570398895215796,0.00016755915393001225,0.17350267024694455,0.0001230671294820433,7,4,3,0,0.70917,0.4113352,1.0,1.0,0.7678194676004999
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,0.074718398501227,3.635608086780765e-05,0.2733466555106849,6.650075153601857e-05,0.16999679450211447,6.120834586171226e-05,8,7,1,0,0.086431384,0.086431384,1.0,1.0,0.9977388766632564
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U,0.09906294233360338,4.4110519859783974e-05,0.3147426526915054,7.007365984937649e-05,0.21273288581972577,5.4333926179801896e-05,7,4,3,0,0.72745407,0.39673328,1.0,1.0,0.8261979301077809
control_A0,A_0p0_rho_0p3,0.0,50,0.3,hidden_U_without_seasonal,0.06601364909413647,0.00013431051415284455,0.2569310817896958,0.0002613513212100477,0.173651576933261,0.00029526077468603406,7,4,3,0,0.7418849,0.42039922,1.0,1.0,0.8042197512881661
control_A0,A_0p0_rho_0p7,0.0,50,0.7,observed_U,0.0749093681961783,3.072103466202705e-05,0.2736957527013098,5.611988736649649e-05,0.1702569610671197,7.202192072667183e-05,8,7,1,0,0.14703153,0.14703153,1.0,1.0,0.9951155136279982
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U,0.09952853332995173,8.399163865305e-05,0.3154814029557754,0.00013311276193736082,0.21403485617477994,0.00010473435372985616,9,4,5,0,0.74939936,0.2648378,1.0,1.0,0.8093281158198153
control_A0,A_0p0_rho_0p7,0.0,50,0.7,hidden_U_without_seasonal,0.06622442352644939,0.00011048126423947209,0.2573409751095469,0.00021460688929145934,0.17442973953090113,0.00023118729052572812,9,4,5,0,0.76551807,0.2869126,1.0,1.0,0.7972168370869845
